# total_evaluations, simulation_calls, fitness, configuration
# [0/400] 2025-06-24 12:00:17.922230
102 1 0.17526736742900517 0.6128573573273655 0.03087289623945732 0.43264708042771305 0.03077091773768639 0.9996304160910641 0.4219464541921901 0.32665874221727126 0.7404873438570171 0.7576496440734006 0.2466760228606343 0.9902588076699375 0.13028123843032877 0.23315552454658134 0.9121404507183861 0.6942914310850019 0.3340537107301558 0.7550266757742876 0.009316615230958395 0.6913638083735609 0.9473530175463258
125 2 0.11186199883265768 0.6206143626855802 0.1128595561532578 0.3733034525577388 0.06184651150293305 0.526020137722558 0.32943759061984296 0.6085221059405227 0.973328848266752 0.7859797356252993 0.0014412512503494243 0.8602177584115298 0.0018460618752359945 0.3107806650789785 0.800995067859332 0.8270178961720178 0.3344598096745046 0.8213903600569092 0.004928280589288102 0.27307002843926814 0.9995136002624401
# [100/400] 2025-06-24 12:01:19.439925
391 100 0.11186199883265768 0.8369205113213438 0.00010845519264720444 0.1806954784147352 0.07616317869414774 0.9464698182263511 0.04430574926967146 0.557667351122196 0.9977658939699922 0.5888156697930021 0.250286538279232 0.7023991739910345 0.00805107446061101 0.09728498584121653 0.9999924932458036 0.9506177452621286 0.03194712928508725 0.8978400700785716 0.4347432111501436 0.08817447853623595 0.6802944645542897
# [200/400] 2025-06-24 12:02:20.975217
870 200 0.4787561579155901 0.24457091262327008 0.998834576638161 0.26395803628749026 0.051458853003191043 0.3686447668099658 0.6275762393520132 0.05115396056769807 0.710734499888477 0.08266011783637252 0.24728410887312569 0.0002794777010336694 0.9688139267773536 0.18436183889455787 0.9984143385439311 0.2993595747327693 0.9980540795072816 0.5619658171603933 0.47756378800561405 0.9025342994021786 0.7768072217094482
# [300/400] 2025-06-24 12:03:20.298468
1132 300 0.42124974106180174 0.030312974634180187 0.9958104567246396 0.08021074783128654 0.11196214497924473 0.8406074623369284 0.3058777187398165 0.003916820861478722 0.8672334852432988 0.707022450233969 0.04608726481449853 0.003154324249831818 0.9967892553436716 0.13846687204907698 0.9739843500376887 0.4878132768322295 0.9958889670466597 0.29159845911693294 0.5280333602716014 0.6317236147554426 0.7524292565626578
# [400/400] 2025-06-24 12:04:16.549921
1321 400 0.44082040546502765 0.4892411466814102 0.9654501846595351 0.004767511612917811 0.06114800079589877 0.917999766776301 0.05201706246428739 0.23509982867624046 0.8525326371255156 0.0142674756088208 0.05653089069259336 0.03583650761329077 0.9944586680008873 0.007919993019248218 0.9755921793674682 0.1203042206732452 0.9279771924864013 0.057522821736594065 0.07706352659305848 0.7041152146130898 0.9364075197906843
