# total_evaluations, simulation_calls, fitness, configuration
# [0/200] 2025-06-24 08:14:18.124745
79 1 0.13507007131807983 0.9835647960907438 0.45246082762926604 0.024665624094177052 0.99868351746886 0.7419861629709703 0.07135294718078655 0.9414469736010372 0.08147655173361995 0.3413880077751497 0.9993393879727478
1516 20 0.12621997681553804 0.978093907118015 0.44798183678573866 0.015157500090743126 0.08794961424286318 0.6853659953261556 0.04616036490028652 0.7791153712069343 0.4723760984553992 0.3329602712177082 0.37706292357783433
1692 28 0.11986864788615606 0.9406418370551988 0.5155828070380023 0.03457866034644386 0.8575645161937024 0.9624336215340634 0.20034783103828324 0.4482494107012199 0.0968669087990035 0.04870181600679757 0.2080924337845117
1850 38 0.11249745069685393 0.9477795692976083 0.466130274760012 0.037189871977399314 0.9468630130201504 0.9554738821379373 0.14504293182684175 0.41911783909753497 0.42834443445636694 0.18569203996313122 0.47429813750217586
1870 41 0.11102193512208469 0.9638392995885308 0.5216206662575691 0.052852359261020776 0.9165678893960727 0.8458246439725648 0.38425445647455947 0.7071631449903722 0.3200070912254873 0.41251561035869244 0.7070889586924416
1946 53 0.10931124996345926 0.9939783704007692 0.5460616947747388 0.05270271429579981 0.908221678213337 0.8169640948715764 0.008395673161409434 0.835952926293669 0.2431776588283313 0.21227038612086846 0.6291610190766999
1966 55 0.09486125835609216 0.9932105314007318 0.568338226755417 0.036096931479233874 0.99868351746886 0.9173927843551231 0.20865013461324844 0.7593522551204135 0.06889277331251398 0.08680351706322698 0.4259090532355039
# [100/200] 2025-06-24 08:15:58.438213
2275 100 0.32157197332728743 0.9658075841766854 0.4949672957891611 0.02767087949105279 0.721135840680377 0.7675424386738264 0.9214036688566903 0.6178339933667378 0.05813039554615773 0.6606584236886737 0.3959617959084827
2424 130 0.09419080238175086 0.9577708558349391 0.5186583201447968 0.01225740541551551 0.998605410590183 0.9574240306373492 0.1854719022849597 0.45880168799535503 0.08177417976945478 0.01673085104078753 0.4164463312826249
2432 132 0.08716626813107264 0.9733573904476183 0.5446871846928051 0.029964382263675093 0.9159508771748284 0.9449308840342022 0.5709811654528725 0.7455629732891571 0.3784108523323555 0.10802808988802937 0.6350216212102721
# [200/200] 2025-06-24 08:17:00.646279
2605 200 0.1933165013415043 0.9803614084173387 0.45945267764047065 0.028025904032797255 0.7949198717239122 0.9654467979563062 0.5090330771931402 0.18759118920607754 0.20083915319803775 0.7460127045658362 0.4824063258451023
