id	dimension	optimizer	seed
1	50	DE	1
2	50	DE	2
3	50	DE	3
4	50	DE	4
5	50	DE	5
6	50	DE	6
7	50	DE	7
8	50	DE	8
9	50	DE	9
10	50	DE	10
11	50	DE	11
12	50	DE	12
13	50	DE	13
14	50	DE	14
15	50	DE	15
